full_date,date,weekday,time,mood,activities,note
27/10/2019,27-Oct,Sunday,8:04,good,,
26/10/2019,26-Oct,Saturday,22:00,good,,
26/10/2019,26-Oct,Saturday,8:07,rad,sex,
25/10/2019,25-Oct,Friday,22:26,rad,,
24/10/2019,24-Oct,Thursday,21:00,good,,
24/10/2019,24-Oct,Thursday,8:00,good,,
23/10/2019,23-Oct,Wednesday,21:00,good,,
23/10/2019,23-Oct,Wednesday,8:06,good,,
22/10/2019,22-Oct,Tuesday,22:21,good,,
22/10/2019,22-Oct,Tuesday,11:31,good,,
21/10/2019,21-Oct,Monday,21:00,meh,,
21/10/2019,21-Oct,Monday,8:15,good,,
20/10/2019,20-Oct,Sunday,21:00,good,,
20/10/2019,20-Oct,Sunday,8:55,good,,
19/10/2019,19-Oct,Saturday,21:08,meh,,
19/10/2019,19-Oct,Saturday,8:50,good,relax | reading | learning | procrastinating | sex,
18/10/2019,18-Oct,Friday,21:00,good,,
18/10/2019,18-Oct,Friday,8:15,good,,
17/10/2019,17-Oct,Thursday,23:33,good,,
17/10/2019,17-Oct,Thursday,12:10,good,work,
16/10/2019,16-Oct,Wednesday,21:28,good,relax | friends | reading | gaming | learning | coffee,
16/10/2019,16-Oct,Wednesday,8:01,good,,
15/10/2019,15-Oct,Tuesday,21:00,rad,friends | reading | gaming | learning,
15/10/2019,15-Oct,Tuesday,8:00,good,,
14/10/2019,14-Oct,Monday,21:01,good,friends | gaming | learning | drawing,
14/10/2019,14-Oct,Monday,8:00,good,,
13/10/2019,13-Oct,Sunday,21:00,rad,relax | friends | reading | gaming | good meal,
13/10/2019,13-Oct,Sunday,8:09,rad,reading | sleeping,
20/05/2019,20-May,Monday,8:23,meh,work | procrastinating | read news | coffee,ate badly and drank last night
19/05/2019,19-May,Sunday,21:02,meh,work | friends | reading | gaming | cleaning | procrastinating | programming | read news | coffee,
19/05/2019,19-May,Sunday,9:12,good,,
18/05/2019,18-May,Saturday,21:00,good,relax | friends | reading | gaming | learning | programming | coffee,
18/05/2019,18-May,Saturday,9:20,good,relax | gaming,voted
17/05/2019,17-May,Friday,21:46,good,work | relax | reading | gaming | good meal | cleaning | procrastinating | cycling | cooking | read news | coffee,
17/05/2019,17-May,Friday,8:34,good,reading | procrastinating | cycling | read news | coffee,
16/05/2019,16-May,Thursday,22:06,good,work | friends | running | learning | programming | coffee,
16/05/2019,16-May,Thursday,9:36,rad,work | running | reading | coffee,"runners high, good muffin, optimistic"
15/05/2019,15-May,Wednesday,22:21,good,work | friends | reading | good meal | bus | coffee,tired
15/05/2019,15-May,Wednesday,8:01,good,procrastinating | coffee,
14/05/2019,14-May,Tuesday,22:38,good,work | relax | running | reading | procrastinating | sex | read news | coffee,
14/05/2019,14-May,Tuesday,8:15,good,relax | good meal | procrastinating | coffee,almond milk coffee is good. figuring out solutions to work problem
13/05/2019,13-May,Monday,21:00,good,,
13/05/2019,13-May,Monday,8:25,good,,
12/05/2019,12-May,Sunday,21:51,good,relax,
12/05/2019,12-May,Sunday,16:53,rad,friends | running | gaming | procrastinating | read news | drawing,"was sad, but run made me feel good again"
12/05/2019,12-May,Sunday,8:23,meh,,
11/05/2019,11-May,Saturday,21:03,good,relax | friends | reading | gaming | procrastinating | read news | coffee,finished horizon zero dawn
11/05/2019,11-May,Saturday,8:52,meh,sick,"head cold, not enough sleep"
10/05/2019,10-May,Friday,21:53,good,work | gaming | procrastinating | bus | coffee,
10/05/2019,10-May,Friday,8:57,good,running | coffee,runners high
9/05/2019,9-May,Thursday,22:30,good,work | gaming | procrastinating | cycling | coffee,
9/05/2019,9-May,Thursday,9:28,rad,work | reading | good meal | procrastinating | cycling | cooking | coffee,interview with paul foster
8/05/2019,8-May,Wednesday,21:00,good,,
8/05/2019,8-May,Wednesday,8:00,good,gaming | good meal | procrastinating | cooking,bored
7/05/2019,7-May,Tuesday,22:35,good,work | reading | gaming | procrastinating | cycling | cooking,
7/05/2019,7-May,Tuesday,8:01,good,gaming | procrastinating,
